x,y,z,x_quat,y_quat,z_quat,w_quat,speed
3846.6060593215225,73745.02597762244,0.0,0.0,0.0,-0.531824232325898,0.8468547608126019,5.0
3846.8209853266226,73744.57418090667,0.0,0.0,0.0,-0.5511456065163165,0.834409084572886,5.0
3846.99815925064,73744.10709957393,0.0,0.0,0.0,-0.5781026605655932,0.8159640395550423,5.0
3847.1524363756175,73743.63116743894,0.0,0.0,0.0,-0.6028151636859412,0.7978808673168519,5.0
3847.271284827267,73743.14550994727,0.0,0.0,0.0,-0.6234665939570123,0.7818499895885668,5.0
3847.3750298955115,73742.65618831902,0.0,0.0,0.0,-0.6456770890005135,0.7636105661525534,5.0
3847.4374253402707,73742.15978420779,0.0,0.0,0.0,-0.6682888973950862,0.7439018413866576,5.0
3847.4818131410475,73741.6618744772,0.0,0.0,0.0,-0.6866912603042348,0.7269491818702196,5.0
3847.494317604406,73741.1617200148,0.0,0.0,0.0,-0.7079075503779302,0.7063051041284625,5.0
3847.4795473251415,73740.6620464287,0.0,0.0,0.0,-0.7247892189763029,0.6889706728560518,5.0
3847.443679678942,73740.1630207021,0.0,0.0,0.0,-0.7456714215026585,0.6663138383331121,5.0
3847.3675437090446,73739.66877080884,0.0,0.0,0.0,-0.763742488369282,0.645521038742733,5.0
3847.2770626949123,73739.17692713588,0.0,0.0,0.0,-0.780915684687412,0.624636448991884,5.0
3847.1479674812626,73738.69355990925,0.0,0.0,0.0,-0.7995345439607836,0.6006201070672058,5.0
3846.9985767973694,73738.21658056407,0.0,0.0,0.0,-0.8146324398747041,0.5799775753456219,5.0
3846.8208160970685,73737.74891341173,0.0,0.0,0.0,-0.8315470087325086,0.5554543836068063,5.0
3846.6157139494476,73737.29299588026,0.0,0.0,0.0,-0.844752412707344,0.5351573238077949,5.0
3846.3935737477805,73736.8447010036,0.0,0.0,0.0,-0.8607088349298796,0.5090975363067958,5.0
3846.1342611489954,73736.4169659084,0.0,0.0,0.0,-0.8749361069765867,0.4842383800450505,5.0
3845.862494263447,73735.99726098332,0.0,0.0,0.0,-0.8871198090734148,0.46153921214729754,5.0
3845.5605017494076,73735.59837539122,0.0,0.0,0.0,-0.9006383172809456,0.43456946676607056,5.0
3845.2402843061404,73735.21459285662,0.0,0.0,0.0,-0.9114797553940666,0.4113449349472685,5.0
3844.8990705200063,73734.84869096574,0.0,0.0,0.0,-0.9183693796630432,0.3957242505802711,5.0
3844.553066606739,73734.48731364349,0.0,0.0,0.0,-0.9249831523588524,0.3800081155084454,5.0
3844.1886401614415,73734.146437346,0.0,0.0,0.0,-0.9393219396373312,0.3430368693245112,5.0
3843.789960042527,73733.84417151849,0.0,0.0,0.0,-0.9479347047970992,0.3184647475643677,5.0
3843.3910173794757,73733.54231957287,0.0,0.0,0.0,-0.9497245156289605,0.313086800126317,5.0
3842.985586167969,73733.24916800429,0.0,0.0,0.0,-0.9549384576465096,0.29680387818845166,5.0
3842.5676531029926,73732.97577077798,0.0,0.0,0.0,-0.9643516010363077,0.26462424223549513,5.0
3842.126707137261,73732.73942082966,0.0,0.0,0.0,-0.9706426943227217,0.24052600682239644,5.0
3841.68283706714,73732.50856576084,0.0,0.0,0.0,-0.9712961891805223,0.23787331267587578,5.0
3841.2393157689035,73732.2770387815,0.0,0.0,0.0,-0.971206137124384,0.23824071694807383,5.0
3840.7957944706664,73732.04551180213,0.0,0.0,0.0,-0.9712061371228734,0.23824071695423196,5.0
3840.3522731724292,73731.81398482277,0.0,0.0,0.0,-0.9712061371244091,0.2382407169479716,5.0
3839.908751874192,73731.58245784343,0.0,0.0,0.0,-0.9712053055337209,0.23824410696416362,5.0
3839.4652338086225,73731.35092467161,0.0,0.0,0.0,-0.9712039815030453,0.23824950432819866,5.0
3839.0217176572387,73731.11938783304,0.0,0.0,0.0,-0.971203489070742,0.23825151167792638,5.0
3838.578201505855,73730.88785099445,0.0,0.0,0.0,-0.9712034890691812,0.23825151168428874,5.0
